symbol,timestamp,date,week,hour,signal,source,confidence,entry_price,stop_loss,tp1,tp2,outcome,pnl_pct,exit_price,is_winner,executed,execution_mode,ml_probability,ml_vote,lstm_probability,lstm_vote,confluence_score,votes_for,votes_against,market_regime,market_regime_base,rsi,adx,atr,bb_position,trend,macd_histogram,cvd,orderbook_imbalance,operation_type,block_reason,voter_rsi,voter_macd,voter_trend,voter_adx,voter_bb,voter_orderbook,voter_cvd,voter_regime,voter_setup_validator,voter_llm,risk_distance_pct,reward_distance_pct,risk_reward
4USDT,2026-03-28 22:01:41.420337+00:00,2026-03-28,13,22,BUY,AGNO,8,0.01,0.00884988,0.01237437,0.01533729,TP2_HIT,38.5583,0.01533729,True,True,real,,1,0.77225661277771,0,0.857,6.0,1,,,64.42658506301491,34.98797517211465,0.0007667489393907619,0.8544265008762133,strong_bullish,0.00018524707384856922,-1.0,0.1827066409301698,DAY_TRADE,,0,0,0,0,0,0,0,0,0,0,11.50120000000001,23.743700000000008,2.0644541439154165
4USDT,2026-03-29 02:03:16.256032+00:00,2026-03-29,13,2,BUY,AGNO,8,0.02,0.01892208,0.02161688,0.02242532,SL_HIT,-5.389599999999998,0.01892208,False,False,real,,0,0.7035671472549438,0,0.833,5.0,1,,,66.309362304373,37.87413961177323,0.0007186137022531597,0.8469430863340106,strong_bullish,9.243958882826733e-05,-1.0,0.2491078741078741,DAY_TRADE,,0,0,0,0,0,0,0,0,0,0,5.389599999999998,8.084400000000006,1.5000000000000016
4USDT,2026-03-29 15:01:32.407628+00:00,2026-03-29,13,15,NO_SIGNAL,AGNO,8,0.02,0.0198,0.0204,0.0207,INVALID,0.0,0.0,False,False,,,-1,0.8317238688468933,0,0.667,4.0,2,,,60.94321777306698,31.824427344882878,0.0009255809805242605,1.023053601427372,strong_bullish,-4.61673603968074e-05,-1.0,0.08730207707423226,DAY_TRADE,"Confluência: confluência insuficiente: score=66.7% (mín 55%), votos=4 (mín 5). Votos: [MACD neutro (-0.000046, zona morta) | Trend aligned (strong_bullish) | ADX strong trend (31.8 >= 25) | CVD contra (negative) | Bi-LSTM win prob=83.2% | ML contra (prob=49.8%)]",0,0,0,0,0,0,0,0,0,0,0.999999999999994,2.0000000000000053,2.0000000000000173
A2ZUSDT,2026-03-24 03:01:46.913013+00:00,2026-03-24,13,3,NO_SIGNAL,AGNO,0,,,,,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,58.85898090143405,33.02480966420037,6.864868007254873e-05,0.7333214005560502,bullish,2.5184909833821894e-06,-1.0,0.11057808642127939,DAY_TRADE,Sem entry_price real disponível,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
A2ZUSDT,2026-03-24 07:04:40.441168+00:00,2026-03-24,13,7,NO_SIGNAL,AGNO,4,0.34,0.34680000000000005,0.3332,0.323,INVALID,0.0,0.0,False,False,,,0,0.5166783928871155,0,0.455,2.5,3,,,66.18500261687393,35.615809925253096,7.365063337319027e-05,0.9454834079578398,bullish,1.1463514963582957e-05,1.0,0.17041940588420196,DAY_TRADE,"Confluência: confluência insuficiente: score=45.5% (mín 55%), votos=2 (mín 4). Votos: [MACD contra (0.0000) | Trend contra (bullish) | ADX strong trend (35.6 >= 25) | BB near upper band (0.95) | CVD contra (positive)]",0,0,0,0,0,0,0,0,0,0,2.000000000000008,2.000000000000008,1.0
AAVEUSDT,2026-03-28 10:02:21.265680+00:00,2026-03-28,13,10,NO_SIGNAL,AGNO,8,97.03,98.19,95.07,93.11,INVALID,0.0,0.0,False,False,,,1,0.033238720148801804,0,0.571,4.0,3,,,30.71108529717429,40.95987021235125,0.9564146492162031,0.28311201174618866,strong_bearish,0.24296521693399686,1.0,-0.0900706436420722,DAY_TRADE,"Confluência: confluência insuficiente: score=57.1% (mín 55%), votos=4 (mín 5). Votos: [MACD contra (0.2430) | Trend aligned (strong_bearish) | ADX strong trend (41.0 >= 25) | CVD contra (positive) | Bi-LSTM contra (prob=3.3%) | ML a favor (prob=63.5%)]",0,0,0,0,0,0,0,0,0,0,1.1955065443677177,2.0199938163454685,1.6896551724138051
AAVEUSDT,2026-03-29 02:04:39.017972+00:00,2026-03-29,13,2,SELL,AGNO,7,96.96,98.95774599,93.96338101,92.46507152,TP1_HIT,3.090572390676555,93.96338101,True,True,real,,0,0.9552451968193054,0,0.8,4.0,1,,,39.72754068430243,22.113218428851717,0.9258199715524217,0.3011170057220536,bearish,0.11709972267616187,-1.0,-0.1966718375405444,DAY_TRADE,,0,0,0,0,0,0,0,0,0,0,2.060381590346548,3.090572390676555,1.5000000025028049
ADAUSDT,2026-03-05 17:20:29.536902+00:00,2026-03-05,10,17,BUY,AGNO,7,0.267,0.259,0.277,0.285,SL_HIT,-2.9962546816479425,0.259,False,False,,,0,,0,0.0,0.0,0,,,38.58878163154266,19.767451445655816,0.004196997140943841,-0.14685789061366875,neutral,-0.0009430398022130164,229114.0,0.1959352502281569,,,0,0,0,0,0,0,0,0,0,0,2.9962546816479425,3.745318352059928,1.25
ADAUSDT,2026-03-06 14:17:38.423131+00:00,2026-03-06,10,14,BUY,AGNO,7,0.2618,0.255,0.2718,0.2817,SL_HIT,-2.597402597402587,0.255,False,False,,,0,,0,0.0,0.0,0,,,33.149608702168706,13.125777309152625,0.0031977633929343822,-0.19714838443093669,neutral,-0.000554547980149767,462152.0,0.11310723465969906,,,0,0,0,0,0,0,0,0,0,0,2.597402597402587,3.819709702062647,1.4705882352941249
ADAUSDT,2026-03-07 14:40:59.060207+00:00,2026-03-07,10,14,NO_SIGNAL,AGNO,5,0.2555,0.251,0.26,0.265,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,33.32927765709329,22.417026335664847,0.002272442651693165,-0.2628081279464348,neutral,0.00019126801469736732,-25419.0,0.05710311019541433,,,0,0,0,0,0,0,0,0,0,0,1.7612524461839547,1.7612524461839547,1.0
ADAUSDT,2026-03-07 14:49:59.626493+00:00,2026-03-07,10,14,BUY,AGNO,7,0.255,0.249,0.26,0.265,SL_HIT,-2.35294117647059,0.249,False,False,,,0,,0,0.0,0.0,0,,,32.59865497907058,22.417026335664847,0.002272442651693165,-0.30033176831072894,neutral,0.00017212271555203844,49781.0,0.09152382055598085,,,0,0,0,0,0,0,0,0,0,0,2.35294117647059,1.960784313725492,0.8333333333333334
ADAUSDT,2026-03-10 09:35:44.467742+00:00,2026-03-10,11,9,BUY,AGNO,7,0.2662,0.2533,0.2721,0.2784,TP1_HIT,2.2163786626596607,0.2721,True,False,,,0,,0,0.0,0.0,0,,,68.73270658012575,32.95778487690282,0.0033802249442565053,1.227211665277142,neutral,0.000528313639537203,124112.0,0.07526213172128199,,,0,0,0,0,0,0,0,0,0,0,4.845980465815165,2.2163786626596607,0.4573643410852737
ADAUSDT,2026-03-10 09:45:23.731353+00:00,2026-03-10,11,9,BUY,AGNO,7,0.2665,0.253,0.272,0.278,TP1_HIT,2.0637898686679192,0.272,True,False,,,0,,0,0.0,0.0,0,,,69.9145960376509,33.10304130109255,0.003451653515685077,1.2692578017475173,neutral,0.000585749536973101,214020.0,0.16060051395672081,,,0,0,0,0,0,0,0,0,0,0,5.065666041275802,2.0637898686679192,0.40740740740740744
ADAUSDT,2026-03-10 09:55:13.170113+00:00,2026-03-10,11,9,BUY,AGNO,7,0.2666,0.2545,0.2721,0.2784,TP1_HIT,2.0630157539384864,0.2721,True,False,,,0,,0,0.0,0.0,0,,,69.26925823247329,33.10304130109255,0.003451653515685077,1.2466825194459434,neutral,0.0005538407050642788,-129090.0,0.15980231939443137,,,0,0,0,0,0,0,0,0,0,0,4.538634658664666,2.0630157539384864,0.4545454545454549
ADAUSDT,2026-03-10 10:05:19.669930+00:00,2026-03-10,11,10,BUY,AGNO,7,0.2667,0.2526,0.2721,0.2784,TP1_HIT,2.0247469066366763,0.2721,True,False,,,0,,0,0.0,0.0,0,,,69.03000031219815,34.84073672270715,0.0032622497078779525,1.0906789400997086,neutral,0.0007415704037673024,-100972.0,0.17188315028945617,,,0,0,0,0,0,0,0,0,0,0,5.286839145106862,2.0247469066366763,0.3829787234042564
ADAUSDT,2026-03-10 10:15:39.601821+00:00,2026-03-10,11,10,BUY,AGNO,7,0.2658,0.2528,0.2721,0.2784,TP1_HIT,2.370203160270891,0.2721,True,False,,,0,,0,0.0,0.0,0,,,66.04471215739055,34.84073672270715,0.0033408211364493803,1.035880739433005,neutral,0.0006777527399496578,-268386.0,0.16432913422213516,,,0,0,0,0,0,0,0,0,0,0,4.890895410082753,2.370203160270891,0.48461538461538833
ADAUSDT,2026-03-10 10:25:53.668362+00:00,2026-03-10,11,10,NO_SIGNAL,AGNO,6,0.2662,0.2527,0.2721,0.2784,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,66.91283071468649,34.84073672270715,0.003362249707877953,1.0529350359555814,neutral,0.0006968980390949422,-133740.0,0.12307585703974754,,,0,0,0,0,0,0,0,0,0,0,5.071374906085654,2.2163786626596607,0.4370370370370379
